x,y,z,dist
-374.466431,91.924446,-332.401001,472.000000
-374.391907,91.936943,-333.807983,473.000000
-374.317383,91.949539,-335.214996,478.000000
-374.093323,91.989342,-339.446869,479.000000
-374.019073,92.003372,-340.854218,482.000000
-373.871613,92.031952,-343.669128,486.000000
-373.655792,92.072098,-347.892090,488.000000
-373.585663,92.084320,-349.299988,490.000000
-373.447998,92.108101,-352.116089,495.000000
-373.247223,92.144737,-356.341492,496.000000
-373.181519,92.157310,-357.749939,497.000000
-373.116272,92.169945,-359.158569,499.000000
-373.051178,92.182556,-360.571777,502.000000
-372.857422,92.219559,-364.807373,504.000000
-372.793274,92.231674,-366.216309,506.000000
-372.729187,92.243629,-367.625305,507.000000
-372.473541,92.289574,-373.264221,513.000000
-372.410065,92.300537,-374.673431,514.000000
-372.346893,92.311829,-376.086823,516.000000
-372.284515,92.323692,-377.496185,520.000000
-372.102753,92.363075,-381.726837,523.000000
-371.985474,92.390190,-384.554352,530.000000
-371.704498,92.458786,-391.611328,531.000000
-371.649689,92.473061,-393.021423,534.000000
-371.432251,92.528000,-398.664490,538.000000
-371.378052,92.541122,-400.078125,540.000000
-371.323822,92.554008,-401.494080,541.000000
-371.269806,92.566574,-402.904663,544.000000
-371.053375,92.616081,-408.561035,548.000000
-370.998352,92.628853,-409.999695,551.000000
-370.836395,92.665947,-414.232269,555.000000
-370.728882,92.691071,-417.054291,557.000000
-370.675598,92.704895,-418.465363,560.000000
-370.570648,92.734352,-421.287750,564.000000
-370.417542,92.777710,-425.521576,565.000000
-370.367493,92.791649,-426.932953,568.000000
-370.268707,92.818535,-429.756012,569.000000
-370.219818,92.829277,-431.167389,572.000000
-370.074280,92.846535,-435.401978,575.000000
-370.026093,92.851707,-436.813538,578.000000
-369.794434,92.925232,-443.864258,584.000000
-369.749542,92.944427,-445.272369,585.000000
-369.704712,92.963135,-446.680176,586.000000
-369.569489,93.015511,-450.905945,591.000000
-369.523865,93.031555,-452.313568,592.000000
-369.478027,93.047874,-453.721283,593.000000
-369.432068,93.064529,-455.128998,598.000000
-369.247131,93.132500,-460.760864,601.000000
-369.200623,93.151451,-462.174438,602.000000
